step,total_steps,loss,kl_loss,policy_ratio,reward_avg,correctness_avg,format_bonus_avg,length_penalty_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,500,0.000000,0.000000,1.000000,0.187500,0.250000,0.012500,0.075000,53.660472,647.500000,-0.000000,0.999801,0.516548,
2,500,0.000000,0.000000,,-0.100000,0.000000,0.000000,0.100000,54.478353,758.875000,0.000000,0.000000,0.748810,
3,500,0.064124,0.064124,1.000000,0.918750,0.875000,0.043750,0.000000,54.428321,397.750000,0.000000,0.999731,0.520957,
4,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,54.431133,349.000000,0.000000,0.000000,0.386464,
5,500,0.126563,0.126563,1.000000,0.775000,0.750000,0.037500,0.012500,53.918654,489.375000,-0.000000,0.999804,0.502048,
6,500,0.017267,0.017267,1.000000,0.856250,0.875000,0.043750,0.062500,53.890632,648.375000,-0.000000,0.999743,0.377683,
7,500,-0.074276,-0.074276,1.000000,-0.087500,0.000000,0.000000,0.087500,54.020365,733.375000,0.000000,0.997180,0.495188,
8,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,51.595251,288.000000,0.000000,0.000000,0.327829,
9,500,0.000000,0.000000,,-0.100000,0.000000,0.000000,0.100000,52.916000,768.000000,0.000000,0.000000,0.686611,
10,500,0.014337,0.014337,1.000000,-0.062500,0.000000,0.000000,0.062500,54.080144,660.000000,0.000000,0.998071,0.496973,
11,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.418315,342.375000,0.000000,0.000000,0.505577,
12,500,-0.043429,-0.043429,1.000000,-0.075000,0.000000,0.000000,0.075000,54.253516,663.875000,0.000000,0.997844,0.368738,
13,500,-0.147065,-0.147065,1.000000,-0.025000,0.000000,0.000000,0.025000,52.742470,415.500000,-0.000000,0.997844,0.934115,
14,500,-0.007841,-0.007841,1.000000,0.906250,0.875000,0.043750,0.012500,53.713910,516.125000,-0.000000,0.999728,0.491193,
15,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.611372,280.500000,0.000000,0.000000,0.335795,
16,500,-0.093647,-0.093647,1.000000,0.368750,0.375000,0.018750,0.025000,54.101437,525.125000,0.000000,0.999823,0.627715,
17,500,-0.164018,-0.164018,1.000000,0.056250,0.125000,0.006250,0.075000,53.916992,684.875000,0.000000,0.999725,0.594663,
18,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.783655,450.375000,0.000000,0.000000,0.461982,
19,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,54.248575,371.625000,0.000000,0.000000,0.567778,
20,500,-0.064018,-0.064018,1.000000,0.381250,0.375000,0.018750,0.012500,53.848309,390.750000,0.000000,0.999820,0.473199,
21,500,0.030707,0.030707,1.000000,0.906250,0.875000,0.043750,0.012500,53.739365,347.250000,0.000000,0.999754,0.537044,
22,500,-0.252693,-0.252693,1.000000,0.056250,0.125000,0.006250,0.075000,53.698990,672.500000,0.000000,0.999752,0.651551,
23,500,-0.354617,-0.354617,1.000000,-0.075000,0.000000,0.000000,0.075000,53.356406,703.125000,0.000000,0.997844,0.644823,
24,500,-0.113395,-0.113395,1.000000,0.787500,0.750000,0.037500,0.000000,54.033599,369.000000,-0.000000,0.999794,0.567310,
25,500,-0.073717,-0.073717,1.000000,0.643750,0.625000,0.031250,0.012500,53.603108,431.250000,0.000000,0.999822,0.484052,
26,500,-0.075360,-0.075360,1.000000,0.656250,0.625000,0.031250,0.000000,53.630499,352.625000,-0.000000,0.999816,0.798028,
27,500,-0.096032,-0.096033,1.000000,0.906250,0.875000,0.043750,0.012500,53.195886,403.500000,-0.000000,0.999728,0.525066,
28,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.649982,199.125000,0.000000,0.000000,0.586143,
29,500,0.000000,0.000000,,-0.100000,0.000000,0.000000,0.100000,54.149245,741.000000,0.000000,0.000000,1.254404,
30,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.747752,265.750000,0.000000,0.000000,0.538109,
31,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.978675,238.500000,0.000000,0.000000,0.407563,
32,500,-0.170320,-0.170320,1.000000,0.631250,0.625000,0.031250,0.025000,53.748933,431.125000,0.000000,0.999827,0.591049,
33,500,-0.067821,-0.067820,1.000000,1.037500,1.000000,0.050000,0.012500,53.505198,426.500000,0.000001,0.997180,0.374297,
34,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.019889,212.250000,0.000000,0.000000,0.574076,
35,500,0.003526,0.003526,1.000000,0.787500,0.750000,0.037500,0.000000,53.116246,306.750000,-0.000000,0.999794,0.649197,
36,500,-0.521464,-0.521464,1.000000,0.187500,0.250000,0.012500,0.075000,53.600338,685.875000,-0.000000,0.999788,0.988201,
37,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.710576,133.750000,0.000000,0.000000,0.714613,
38,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.891260,103.875000,0.000000,0.000000,0.590547,
39,500,-0.211823,-0.211823,1.000000,-0.012500,0.000000,0.000000,0.012500,53.905037,391.875000,0.000000,0.997180,0.728261,
40,500,-0.160708,-0.160708,1.000000,0.381250,0.375000,0.018750,0.012500,53.125709,352.750000,0.000000,0.999820,0.961969,
41,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.213582,365.750000,0.000000,0.000000,0.729238,
42,500,-0.189801,-0.189802,1.000000,0.131250,0.125000,0.006250,0.000000,53.973956,328.500000,0.000000,0.999731,0.997216,
43,500,-0.168544,-0.168544,1.000000,0.775000,0.750000,0.037500,0.012500,53.993561,440.750000,-0.000000,0.999792,1.001015,
44,500,-0.086950,-0.086950,1.000000,0.512500,0.500000,0.025000,0.012500,53.534878,442.250000,0.000000,0.999826,0.553333,
45,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,54.136444,181.250000,0.000000,0.000000,0.498752,
46,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,54.217220,182.250000,0.000000,0.000000,1.025646,
47,500,0.063162,0.063162,1.000000,0.525000,0.500000,0.025000,0.000000,53.683389,351.875000,0.000000,0.999822,0.613817,
48,500,0.062345,0.062345,1.000000,0.787500,0.750000,0.037500,0.000000,53.314086,333.625000,-0.000000,0.999794,0.549632,
49,500,-0.302858,-0.302858,1.000000,0.056250,0.125000,0.006250,0.075000,53.672554,687.625000,0.000000,0.999752,1.142218,
50,500,-0.210068,-0.210068,1.000000,0.187500,0.250000,0.012500,0.075000,54.058521,614.250000,-0.000000,0.999801,1.592881,0.500000
51,500,0.093470,0.093470,1.000000,0.643750,0.625000,0.031250,0.012500,54.078009,383.625000,0.000000,0.999813,1.018990,
52,500,-0.392601,-0.392601,1.000000,0.031250,0.125000,0.006250,0.100000,53.501242,751.250000,0.000000,0.999731,1.701599,
53,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,53.322809,166.125000,0.000000,0.000000,1.336587,
54,500,0.135202,0.135202,1.000000,0.643750,0.625000,0.031250,0.012500,53.896637,355.375000,0.000000,0.999822,0.999840,
55,500,0.073698,0.073698,1.000000,0.081250,0.125000,0.006250,0.050000,53.736577,578.250000,0.000000,0.999747,1.677560,
56,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,53.747904,333.500000,0.000000,0.000000,1.486725,
57,500,0.188299,0.188299,1.000000,0.068750,0.125000,0.006250,0.062500,53.941616,565.250000,0.000000,0.999722,1.772253,
58,500,0.060724,0.060724,1.000000,0.331250,0.375000,0.018750,0.062500,54.258178,661.750000,0.000000,0.999816,2.475701,
59,500,0.339795,0.339795,1.000000,0.356250,0.375000,0.018750,0.037500,54.322960,580.875000,-0.000000,0.999826,2.437187,
60,500,0.249736,0.249736,1.000000,-0.075000,0.000000,0.000000,0.075000,53.383846,698.625000,0.000000,0.997844,2.076960,
61,500,0.000000,0.000000,,-0.100000,0.000000,0.000000,0.100000,54.279902,768.000000,0.000000,0.000000,4.025737,
62,500,0.780965,0.780965,1.000000,0.368750,0.375000,0.018750,0.025000,53.653542,487.625000,0.000000,0.999823,1.719800,
63,500,0.494643,0.494643,1.000000,-0.037500,0.000000,0.000000,0.037500,53.809599,536.000000,0.000000,0.998071,2.928414,
64,500,0.522281,0.522281,1.000000,0.393750,0.375000,0.018750,0.000000,53.738309,257.875000,-0.000000,0.999816,1.648504,
65,500,0.703092,0.703092,1.000000,0.500000,0.500000,0.025000,0.025000,53.421511,355.750000,0.000000,0.999830,2.573411,
66,500,1.317942,1.317942,1.000000,-0.087500,0.000000,0.000000,0.087500,53.654974,717.500000,0.000000,0.997180,4.628505,
67,500,1.513308,1.513308,1.000000,-0.075000,0.000000,0.000000,0.075000,54.110280,664.750000,0.000000,0.997844,5.773908,
68,500,0.000000,0.000000,,-0.100000,0.000000,0.000000,0.100000,53.656553,736.625000,0.000000,0.000000,4.024735,
69,500,1.493065,1.493065,1.000000,-0.087500,0.000000,0.000000,0.087500,53.765434,716.625000,0.000000,0.997180,4.866049,
70,500,1.021092,1.021092,1.000000,0.918750,0.875000,0.043750,0.000000,52.886197,159.375000,0.000000,0.999731,3.496092,
71,500,0.000000,0.000000,,-0.100000,0.000000,0.000000,0.100000,53.625346,758.125000,0.000000,0.000000,5.394569,
72,500,2.269151,2.269151,1.000000,-0.062500,0.000000,0.000000,0.062500,53.174802,613.125000,-0.000000,0.998071,4.967278,
73,500,2.077323,2.077323,1.000000,-0.087500,0.000000,0.000000,0.087500,53.550910,663.500000,0.000000,0.997180,5.847057,
74,500,1.395268,1.395268,1.000000,0.512500,0.500000,0.025000,0.012500,53.734120,283.500000,0.000000,0.999826,2.508035,
75,500,2.057938,2.057938,1.000000,-0.037500,0.000000,0.000000,0.037500,53.258019,510.000000,0.000000,0.998071,6.702367,
76,500,3.200057,3.200057,1.000000,0.056250,0.125000,0.006250,0.075000,54.083822,637.125000,0.000000,0.999752,5.960511,
77,500,3.154846,3.154846,1.000000,0.187500,0.250000,0.012500,0.075000,53.579211,655.375000,-0.000000,0.999801,6.032623,
78,500,3.527265,3.527265,1.000000,0.237500,0.250000,0.012500,0.025000,53.763056,532.750000,-0.000000,0.999788,6.253193,
79,500,3.375515,3.375515,1.000000,-0.062500,0.000000,0.000000,0.062500,53.384789,640.875000,0.000000,0.998071,7.360565,
80,500,2.756550,2.756550,1.000000,0.106250,0.125000,0.006250,0.025000,53.634640,491.625000,-0.000000,0.999740,6.866595,
81,500,2.841388,2.841388,1.000000,-0.062500,0.000000,0.000000,0.062500,53.613512,624.625000,-0.000000,0.998071,6.803761,
82,500,4.568968,4.568968,1.000000,-0.062500,0.000000,0.000000,0.062500,54.051109,573.625000,0.000000,0.998071,5.635803,
83,500,4.014300,4.014300,1.000000,-0.025000,0.000000,0.000000,0.025000,53.786934,481.750000,-0.000000,0.997844,6.509130,
84,500,4.452141,4.452141,1.000000,-0.062500,0.000000,0.000000,0.062500,53.503009,639.625000,0.000000,0.998071,6.719728,
85,500,4.477638,4.477638,1.000000,0.356250,0.375000,0.018750,0.037500,53.851290,466.750000,0.000000,0.999818,6.931260,
86,500,3.808773,3.808773,1.000000,0.762500,0.750000,0.037500,0.025000,53.759731,353.625000,0.000000,0.999812,5.645339,
87,500,3.619560,3.619560,1.000000,-0.037500,0.000000,0.000000,0.037500,53.861420,555.000000,0.000000,0.998071,7.391656,
