step,total_steps,loss,kl_loss,policy_ratio,reward_avg,correctness_avg,format_bonus_avg,length_penalty_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,5,0.000000,0.000000,1.000000,0.118750,0.125000,0.006250,0.012500,57.040840,228.687500,0.000000,0.999711,0.885432,
2,5,0.061054,0.061054,1.000000,0.140625,0.187500,0.009375,0.056250,59.068271,752.062500,0.000000,0.999771,0.453685,
3,5,0.011946,0.011946,1.000000,0.459375,0.437500,0.021875,0.000000,58.036026,100.250000,0.000000,0.999814,0.509946,
4,5,0.026305,0.026305,1.000000,0.656250,0.625000,0.031250,0.000000,57.594768,132.250000,-0.000000,0.999810,0.863247,
5,5,0.079098,0.079098,1.000000,0.853125,0.812500,0.040625,0.000000,57.792982,366.250000,-0.000000,0.999764,0.117031,
1,500,0.000000,0.000000,1.000000,0.118750,0.125000,0.006250,0.012500,57.191049,228.687500,0.000000,0.999711,0.885432,
1,500,-0.000000,0.000000,1.000000,-0.012500,0.000000,0.000000,0.012500,56.034832,162.125000,0.000000,0.997180,0.958956,
2,500,-0.008766,-0.008766,1.000000,0.131250,0.125000,0.006250,0.000000,57.707568,72.000000,-0.000000,0.999731,1.023457,
3,500,-0.000134,-0.000134,1.000000,0.262500,0.250000,0.012500,0.000000,57.254888,39.125000,0.000000,0.999794,0.914974,
4,500,0.024195,0.024195,1.000000,0.262500,0.250000,0.012500,0.000000,57.844991,45.500000,0.000000,0.999794,1.070457,
5,500,0.039255,0.039255,1.000000,0.656250,0.625000,0.031250,0.000000,58.671779,403.000000,-0.000000,0.999816,0.207806,
6,500,0.074595,0.074595,1.000000,0.918750,0.875000,0.043750,0.000000,58.955662,482.875000,0.000000,0.999731,0.178275,
7,500,0.085878,0.085878,1.000000,-0.087500,0.000000,0.000000,0.087500,58.890165,960.375000,0.000000,0.997180,0.219818,
8,500,0.095695,0.095695,1.000000,0.656250,0.625000,0.031250,0.000000,58.553912,245.500000,-0.000000,0.999816,0.204304,
9,500,0.147686,0.147686,1.000000,-0.037500,0.000000,0.000000,0.037500,58.361864,619.500000,0.000000,0.998071,0.417398,
10,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,58.908871,462.875000,0.000000,0.000000,0.182626,
11,500,0.096311,0.096312,1.000000,0.918750,0.875000,0.043750,0.000000,59.079988,276.375000,0.000000,0.999731,0.208018,
12,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,58.739863,607.500000,0.000000,0.000000,0.160974,
13,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,58.682839,264.500000,0.000000,0.000000,0.376019,
14,500,0.125323,0.125323,1.000000,0.787500,0.750000,0.037500,0.000000,58.882315,320.625000,-0.000000,0.999794,0.293816,
