step,total_steps,loss,kl_mean,kl_only,ref_k3,entropy,avg_answer_len,n_rollouts,frac_capped,tokens_per_sec,eval_acc
1,240,0.051549,0.051549,0.051860,0.000000,0.310983,768.00,4,1.000,56.94,
2,240,0.062800,0.062800,0.063187,0.000311,0.402611,768.00,4,1.000,132.41,
3,240,0.052563,0.052563,0.053119,0.000289,0.569852,768.00,4,1.000,119.72,
4,240,0.056022,0.056022,0.056531,0.000294,0.524322,768.00,4,1.000,131.99,
5,240,0.071645,0.071645,0.072239,0.000455,0.616735,768.00,4,1.000,135.19,
6,240,0.047716,0.047716,0.048039,0.000246,0.336190,768.00,4,1.000,131.77,
7,240,0.044324,0.044324,0.044574,0.000200,0.259946,768.00,4,1.000,132.67,
8,240,0.072726,0.072726,0.073278,0.000353,0.569467,768.00,4,1.000,133.10,
9,240,0.061416,0.061416,0.061988,0.000396,0.591731,768.00,4,1.000,96.78,
10,240,0.062324,0.062324,0.062852,0.000378,0.546971,768.00,4,1.000,132.06,
11,240,0.062034,0.062034,0.062686,0.000315,0.667869,768.00,4,1.000,132.00,
12,240,0.050433,0.050433,0.050869,0.000455,0.458040,768.00,4,1.000,132.19,
13,240,0.080121,0.080121,0.080774,0.000425,0.674657,768.00,4,1.000,134.20,
14,240,0.053462,0.053462,0.053931,0.000316,0.484437,768.00,4,1.000,135.38,
15,240,0.077425,0.077425,0.078078,0.000447,0.675911,768.00,4,1.000,134.66,
16,240,0.061743,0.061743,0.062343,0.000370,0.618244,768.00,4,1.000,135.34,
17,240,0.055275,0.055275,0.055598,0.000258,0.336060,768.00,4,1.000,135.21,
18,240,0.060778,0.060778,0.061256,0.000379,0.496415,768.00,4,1.000,136.80,
19,240,0.068080,0.068080,0.068702,0.000420,0.643335,768.00,4,1.000,136.99,
20,240,0.072136,0.072136,0.072800,0.000482,0.688374,768.00,4,1.000,134.93,
21,240,0.064410,0.064410,0.064936,0.000450,0.549156,768.00,4,1.000,138.64,
22,240,0.048750,0.048750,0.049109,0.000329,0.375290,768.00,4,1.000,136.40,
23,240,0.045730,0.045730,0.046004,0.000254,0.286006,768.00,4,1.000,137.54,
24,240,0.056619,0.056619,0.056953,0.000360,0.351434,768.00,4,1.000,135.75,
25,240,0.092292,0.092292,0.092677,0.000327,0.400455,768.00,4,1.000,135.40,
26,240,0.042772,0.042772,0.043167,0.000443,0.416493,768.00,4,1.000,138.17,
27,240,0.072583,0.072583,0.073198,0.000559,0.643547,768.00,4,1.000,137.76,
28,240,0.054178,0.054178,0.054598,0.000465,0.443643,768.00,4,1.000,137.25,
29,240,0.035667,0.035667,0.035901,0.000407,0.254113,768.00,4,1.000,134.12,
30,240,0.067610,0.067610,0.068121,0.000743,0.548289,768.00,4,1.000,134.50,
31,240,0.047744,0.047744,0.048066,0.000338,0.338823,768.00,4,1.000,134.72,
32,240,0.063542,0.063542,0.063972,0.000548,0.457819,768.00,4,1.000,133.33,
